Gasto medio de los hogares. Base 2016
Cataluña
Valor
Fuente: Idescat. Estadística de gasto en consumo de los hogares, base 2016.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10423&col=1&lang=es
;Gasto medio anual por hogar (euros);Por persona;Por unidad de consumo;Gasto total (millones de euros)
2021;31710;12856;18997;97366,0
2020;29235;11872;17549;89859,3
2019;32916;13414;19833;100969,9
2018;32586;13270;19626;98870,7
2017;31619;12833;19028;94647,6
2016;30446;12309;18297;90344,1
Gasto medio de los hogares. Base 2016
España
Valor
Fuente: INE. Encuesta de presupustos familiares.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10423&col=1&lang=es
;Gasto medio anual por hogar (euros);Por persona;Por unidad de consumo;Gasto total (millones de euros)
2021;29244;11780;17409;551720,5
2020;26996;10848;16058;508738,2
2019;30243;12152;18006;566814,6
2018;29871;12019;17814;556432,6
2017;29188;11726;17400;540347,0
2016;28200;11312;16803;520119,2

