Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
01 Andalucía;Total;Gasto medio por hogar;2021;26.965,44
01 Andalucía;Total;Gasto medio por hogar;2020;24.279,43
01 Andalucía;Total;Gasto medio por hogar;2019;27.532,66
01 Andalucía;Total;Gasto medio por hogar;2018;28.065,66
01 Andalucía;Total;Gasto medio por hogar;2017;27.455,86
01 Andalucía;Total;Gasto medio por hogar;2016;25.877,94
01 Andalucía;Total;Gasto medio por hogar;2015;24.396,54
01 Andalucía;Total;Gasto medio por hogar;2014;24.388,32
01 Andalucía;Total;Gasto medio por hogar;2013;24.349,51
01 Andalucía;Total;Gasto medio por hogar;2012;25.642,98
01 Andalucía;Total;Gasto medio por hogar;2011;27.203,92
02 Aragón;Total;Gasto medio por hogar;2021;28.627,34
02 Aragón;Total;Gasto medio por hogar;2020;27.695,68
02 Aragón;Total;Gasto medio por hogar;2019;30.716,04
02 Aragón;Total;Gasto medio por hogar;2018;28.728,85
02 Aragón;Total;Gasto medio por hogar;2017;28.055,46
02 Aragón;Total;Gasto medio por hogar;2016;27.880,66
02 Aragón;Total;Gasto medio por hogar;2015;27.073,94
02 Aragón;Total;Gasto medio por hogar;2014;26.673,84
02 Aragón;Total;Gasto medio por hogar;2013;27.644,60
02 Aragón;Total;Gasto medio por hogar;2012;27.963,34
02 Aragón;Total;Gasto medio por hogar;2011;28.077,79
03 Asturias, Principado de;Total;Gasto medio por hogar;2021;26.092,73
03 Asturias, Principado de;Total;Gasto medio por hogar;2020;23.504,49
03 Asturias, Principado de;Total;Gasto medio por hogar;2019;27.367,02
03 Asturias, Principado de;Total;Gasto medio por hogar;2018;27.185,87
03 Asturias, Principado de;Total;Gasto medio por hogar;2017;26.422,45
03 Asturias, Principado de;Total;Gasto medio por hogar;2016;26.811,61
03 Asturias, Principado de;Total;Gasto medio por hogar;2015;27.005,81
03 Asturias, Principado de;Total;Gasto medio por hogar;2014;26.094,57
03 Asturias, Principado de;Total;Gasto medio por hogar;2013;25.697,07
03 Asturias, Principado de;Total;Gasto medio por hogar;2012;26.149,83
03 Asturias, Principado de;Total;Gasto medio por hogar;2011;27.142,14
04 Balears, Illes;Total;Gasto medio por hogar;2021;31.177,43
04 Balears, Illes;Total;Gasto medio por hogar;2020;28.618,46
04 Balears, Illes;Total;Gasto medio por hogar;2019;33.125,73
04 Balears, Illes;Total;Gasto medio por hogar;2018;33.076,31
04 Balears, Illes;Total;Gasto medio por hogar;2017;32.398,28
04 Balears, Illes;Total;Gasto medio por hogar;2016;31.437,73
04 Balears, Illes;Total;Gasto medio por hogar;2015;29.445,36
04 Balears, Illes;Total;Gasto medio por hogar;2014;28.799,78
04 Balears, Illes;Total;Gasto medio por hogar;2013;27.717,69
04 Balears, Illes;Total;Gasto medio por hogar;2012;28.497,38
04 Balears, Illes;Total;Gasto medio por hogar;2011;29.206,20
05 Canarias;Total;Gasto medio por hogar;2021;25.035,27
05 Canarias;Total;Gasto medio por hogar;2020;21.844,35
05 Canarias;Total;Gasto medio por hogar;2019;25.389,65
05 Canarias;Total;Gasto medio por hogar;2018;24.124,80
05 Canarias;Total;Gasto medio por hogar;2017;23.918,51
05 Canarias;Total;Gasto medio por hogar;2016;23.638,36
05 Canarias;Total;Gasto medio por hogar;2015;23.426,08
05 Canarias;Total;Gasto medio por hogar;2014;23.178,86
05 Canarias;Total;Gasto medio por hogar;2013;22.122,91
05 Canarias;Total;Gasto medio por hogar;2012;22.882,78
05 Canarias;Total;Gasto medio por hogar;2011;24.114,80
06 Cantabria;Total;Gasto medio por hogar;2021;26.673,03
06 Cantabria;Total;Gasto medio por hogar;2020;24.639,51
06 Cantabria;Total;Gasto medio por hogar;2019;29.520,52
06 Cantabria;Total;Gasto medio por hogar;2018;30.071,44
06 Cantabria;Total;Gasto medio por hogar;2017;29.945,34
06 Cantabria;Total;Gasto medio por hogar;2016;27.549,85
06 Cantabria;Total;Gasto medio por hogar;2015;27.973,91
06 Cantabria;Total;Gasto medio por hogar;2014;26.981,59
06 Cantabria;Total;Gasto medio por hogar;2013;27.162,99
06 Cantabria;Total;Gasto medio por hogar;2012;28.971,69
06 Cantabria;Total;Gasto medio por hogar;2011;29.616,25
07 Castilla y León;Total;Gasto medio por hogar;2021;27.172,39
07 Castilla y León;Total;Gasto medio por hogar;2020;25.150,35
07 Castilla y León;Total;Gasto medio por hogar;2019;27.233,61
07 Castilla y León;Total;Gasto medio por hogar;2018;26.919,14
07 Castilla y León;Total;Gasto medio por hogar;2017;26.813,96
07 Castilla y León;Total;Gasto medio por hogar;2016;26.078,83
07 Castilla y León;Total;Gasto medio por hogar;2015;26.046,63
07 Castilla y León;Total;Gasto medio por hogar;2014;25.030,36
07 Castilla y León;Total;Gasto medio por hogar;2013;24.879,62
07 Castilla y León;Total;Gasto medio por hogar;2012;25.466,24
07 Castilla y León;Total;Gasto medio por hogar;2011;26.128,57
08 Castilla - La Mancha;Total;Gasto medio por hogar;2021;24.290,52
08 Castilla - La Mancha;Total;Gasto medio por hogar;2020;23.115,57
08 Castilla - La Mancha;Total;Gasto medio por hogar;2019;26.551,65
08 Castilla - La Mancha;Total;Gasto medio por hogar;2018;25.648,31
08 Castilla - La Mancha;Total;Gasto medio por hogar;2017;24.986,65
08 Castilla - La Mancha;Total;Gasto medio por hogar;2016;25.090,47
08 Castilla - La Mancha;Total;Gasto medio por hogar;2015;25.091,81
08 Castilla - La Mancha;Total;Gasto medio por hogar;2014;24.435,23
08 Castilla - La Mancha;Total;Gasto medio por hogar;2013;24.471,64
08 Castilla - La Mancha;Total;Gasto medio por hogar;2012;24.369,49
08 Castilla - La Mancha;Total;Gasto medio por hogar;2011;26.006,52
09 Cataluña;Total;Gasto medio por hogar;2021;31.710,05
09 Cataluña;Total;Gasto medio por hogar;2020;29.234,76
09 Cataluña;Total;Gasto medio por hogar;2019;32.915,71
09 Cataluña;Total;Gasto medio por hogar;2018;32.585,71
09 Cataluña;Total;Gasto medio por hogar;2017;31.619,45
09 Cataluña;Total;Gasto medio por hogar;2016;30.445,96
09 Cataluña;Total;Gasto medio por hogar;2015;30.229,32
09 Cataluña;Total;Gasto medio por hogar;2014;29.830,79
09 Cataluña;Total;Gasto medio por hogar;2013;29.361,70
09 Cataluña;Total;Gasto medio por hogar;2012;30.017,74
09 Cataluña;Total;Gasto medio por hogar;2011;31.477,71
10 Comunitat Valenciana;Total;Gasto medio por hogar;2021;28.057,28
10 Comunitat Valenciana;Total;Gasto medio por hogar;2020;25.915,10
10 Comunitat Valenciana;Total;Gasto medio por hogar;2019;29.444,27
10 Comunitat Valenciana;Total;Gasto medio por hogar;2018;28.356,34
10 Comunitat Valenciana;Total;Gasto medio por hogar;2017;27.227,17
10 Comunitat Valenciana;Total;Gasto medio por hogar;2016;26.094,00
