Municipios;Sexo;Periodo;Total
08 Barcelona;Total;2022;5.727.615
08 Barcelona;Total;2021;5.714.730
08 Barcelona;Total;2020;5.743.402
08 Barcelona;Total;2019;5.664.579
08 Barcelona;Total;2018;5.609.350
08 Barcelona;Total;2017;5.576.037
08 Barcelona;Total;2016;5.542.680
08 Barcelona;Total;2015;5.523.922
08001 Abrera;Total;2022;12.697
08001 Abrera;Total;2021;12.620
08001 Abrera;Total;2020;12.538
08001 Abrera;Total;2019;12.489
08001 Abrera;Total;2018;12.334
08001 Abrera;Total;2017;12.363
08001 Abrera;Total;2016;12.216
08001 Abrera;Total;2015;12.071
08002 Aguilar de Segarra;Total;2022;287
08002 Aguilar de Segarra;Total;2021;286
08002 Aguilar de Segarra;Total;2020;282
08002 Aguilar de Segarra;Total;2019;288
08002 Aguilar de Segarra;Total;2018;277
08002 Aguilar de Segarra;Total;2017;263
08002 Aguilar de Segarra;Total;2016;253
08002 Aguilar de Segarra;Total;2015;246
08014 Aiguafreda;Total;2022;2.552
08014 Aiguafreda;Total;2021;2.556
08014 Aiguafreda;Total;2020;2.512
08014 Aiguafreda;Total;2019;2.504
08014 Aiguafreda;Total;2018;2.501
08014 Aiguafreda;Total;2017;2.514
08014 Aiguafreda;Total;2016;2.467
08014 Aiguafreda;Total;2015;2.465
08003 Alella;Total;2022;10.079
08003 Alella;Total;2021;9.954
08003 Alella;Total;2020;9.904
08003 Alella;Total;2019;9.801
08003 Alella;Total;2018;9.764
08003 Alella;Total;2017;9.625
08003 Alella;Total;2016;9.632
08003 Alella;Total;2015;9.660
08004 Alpens;Total;2022;281
08004 Alpens;Total;2021;269
08004 Alpens;Total;2020;261
08004 Alpens;Total;2019;266
08004 Alpens;Total;2018;273
08004 Alpens;Total;2017;277
08004 Alpens;Total;2016;294
08004 Alpens;Total;2015;290
08005 Ametlla del Vallès, L';Total;2022;9.020
08005 Ametlla del Vallès, L';Total;2021;8.787
08005 Ametlla del Vallès, L';Total;2020;8.646
08005 Ametlla del Vallès, L';Total;2019;8.462
08005 Ametlla del Vallès, L';Total;2018;8.496
08005 Ametlla del Vallès, L';Total;2017;8.368
08005 Ametlla del Vallès, L';Total;2016;8.337
08005 Ametlla del Vallès, L';Total;2015;8.303
08006 Arenys de Mar;Total;2022;16.155
08006 Arenys de Mar;Total;2021;15.942
08006 Arenys de Mar;Total;2020;15.941
08006 Arenys de Mar;Total;2019;15.776
08006 Arenys de Mar;Total;2018;15.533
08006 Arenys de Mar;Total;2017;15.368
08006 Arenys de Mar;Total;2016;15.253
08006 Arenys de Mar;Total;2015;15.289
08007 Arenys de Munt;Total;2022;9.278
08007 Arenys de Munt;Total;2021;9.191
08007 Arenys de Munt;Total;2020;9.121
08007 Arenys de Munt;Total;2019;8.931
08007 Arenys de Munt;Total;2018;8.838
08007 Arenys de Munt;Total;2017;8.728
08007 Arenys de Munt;Total;2016;8.638
08007 Arenys de Munt;Total;2015;8.736
08008 Argençola;Total;2022;216
08008 Argençola;Total;2021;220
08008 Argençola;Total;2020;219
08008 Argençola;Total;2019;217
08008 Argençola;Total;2018;219
08008 Argençola;Total;2017;220
08008 Argençola;Total;2016;227
08008 Argençola;Total;2015;223
08009 Argentona;Total;2022;12.745
08009 Argentona;Total;2021;12.629
08009 Argentona;Total;2020;12.536
08009 Argentona;Total;2019;12.452
08009 Argentona;Total;2018;12.295
08009 Argentona;Total;2017;12.133
08009 Argentona;Total;2016;12.051
08009 Argentona;Total;2015;11.978
08010 Artés;Total;2022;5.902
08010 Artés;Total;2021;5.782
08010 Artés;Total;2020;5.762
08010 Artés;Total;2019;5.698
08010 Artés;Total;2018;5.648
08010 Artés;Total;2017;5.585
08010 Artés;Total;2016;5.596
08010 Artés;Total;2015;5.665
08011 Avià;Total;2022;2.237
08011 Avià;Total;2021;2.199
08011 Avià;Total;2020;2.220
08011 Avià;Total;2019;2.226
08011 Avià;Total;2018;2.250
08011 Avià;Total;2017;2.249
08011 Avià;Total;2016;2.257
08011 Avià;Total;2015;2.225
08012 Avinyó;Total;2022;2.270
08012 Avinyó;Total;2021;2.286
08012 Avinyó;Total;2020;2.289
08012 Avinyó;Total;2019;2.275
08012 Avinyó;Total;2018;2.250
08012 Avinyó;Total;2017;2.240
08012 Avinyó;Total;2016;2.212
08012 Avinyó;Total;2015;2.248
08013 Avinyonet del Penedès;Total;2022;1.706
08013 Avinyonet del Penedès;Total;2021;1.701
08013 Avinyonet del Penedès;Total;2020;1.697
08013 Avinyonet del Penedès;Total;2019;1.701
08013 Avinyonet del Penedès;Total;2018;1.669
08013 Avinyonet del Penedès;Total;2017;1.653
08013 Avinyonet del Penedès;Total;2016;1.665
08013 Avinyonet del Penedès;Total;2015;1.652
08015 Badalona;Total;2022;223.506
08015 Badalona;Total;2021;223.006
08015 Badalona;Total;2020;223.166
08015 Badalona;Total;2019;220.440
08015 Badalona;Total;2018;217.741
08015 Badalona;Total;2017;215.848
08015 Badalona;Total;2016;215.634
08015 Badalona;Total;2015;215.654
08904 Badia del Vallès;Total;2022;13.163
08904 Badia del Vallès;Total;2021;13.228
08904 Badia del Vallès;Total;2020;13.415
08904 Badia del Vallès;Total;2019;13.380
08904 Badia del Vallès;Total;2018;13.417
08904 Badia del Vallès;Total;2017;13.466
08904 Badia del Vallès;Total;2016;13.482
08904 Badia del Vallès;Total;2015;13.502
08016 Bagà;Total;2022;2.167
08016 Bagà;Total;2021;2.145
08016 Bagà;Total;2020;2.140
08016 Bagà;Total;2019;2.138
08016 Bagà;Total;2018;2.152
08016 Bagà;Total;2017;2.149
08016 Bagà;Total;2016;2.162
08016 Bagà;Total;2015;2.188
08017 Balenyà;Total;2022;3.948
08017 Balenyà;Total;2021;3.900
08017 Balenyà;Total;2020;3.840
08017 Balenyà;Total;2019;3.821
08017 Balenyà;Total;2018;3.783
08017 Balenyà;Total;2017;3.665
08017 Balenyà;Total;2016;3.705
08017 Balenyà;Total;2015;3.711
08018 Balsareny;Total;2022;3.249
08018 Balsareny;Total;2021;3.278
08018 Balsareny;Total;2020;3.192
08018 Balsareny;Total;2019;3.159
08018 Balsareny;Total;2018;3.205
08018 Balsareny;Total;2017;3.240
08018 Balsareny;Total;2016;3.285
08018 Balsareny;Total;2015;3.324
08252 Barberà del Vallès;Total;2022;33.082
08252 Barberà del Vallès;Total;2021;33.016
08252 Barberà del Vallès;Total;2020;33.334
08252 Barberà del Vallès;Total;2019;33.091
08252 Barberà del Vallès;Total;2018;32.839
08252 Barberà del Vallès;Total;2017;32.860
08252 Barberà del Vallès;Total;2016;32.832
08252 Barberà del Vallès;Total;2015;32.545
08019 Barcelona;Total;2022;1.636.193
08019 Barcelona;Total;2021;1.636.732
08019 Barcelona;Total;2020;1.664.182
08019 Barcelona;Total;2019;1.636.762
08019 Barcelona;Total;2018;1.620.343
08019 Barcelona;Total;2017;1.620.809
08019 Barcelona;Total;2016;1.608.746
08019 Barcelona;Total;2015;1.604.555
08020 Begues;Total;2022;7.450
08020 Begues;Total;2021;7.356
08020 Begues;Total;2020;7.300
08020 Begues;Total;2019;7.098
08020 Begues;Total;2018;6.961
08020 Begues;Total;2017;6.830
08020 Begues;Total;2016;6.736
08020 Begues;Total;2015;6.670
08021 Bellprat;Total;2022;74
08021 Bellprat;Total;2021;73
08021 Bellprat;Total;2020;64
08021 Bellprat;Total;2019;64
08021 Bellprat;Total;2018;74
08021 Bellprat;Total;2017;74
08021 Bellprat;Total;2016;75
08021 Bellprat;Total;2015;74
08022 Berga;Total;2022;16.762
08022 Berga;Total;2021;16.682
08022 Berga;Total;2020;16.760
08022 Berga;Total;2019;16.494
08022 Berga;Total;2018;16.199
08022 Berga;Total;2017;16.115
08022 Berga;Total;2016;16.175
08022 Berga;Total;2015;16.238
08023 Bigues i Riells del Fai;Total;2022;9.757
08023 Bigues i Riells del Fai;Total;2021;9.542
08023 Bigues i Riells del Fai;Total;2020;9.358
08023 Bigues i Riells del Fai;Total;2019;9.092
08023 Bigues i Riells del Fai;Total;2018;9.003
08023 Bigues i Riells del Fai;Total;2017;8.957
08023 Bigues i Riells del Fai;Total;2016;8.915
08023 Bigues i Riells del Fai;Total;2015;8.858
08024 Borredà;Total;2022;448
08024 Borredà;Total;2021;455
08024 Borredà;Total;2020;464
08024 Borredà;Total;2019;445
08024 Borredà;Total;2018;456
08024 Borredà;Total;2017;480
08024 Borredà;Total;2016;495
08024 Borredà;Total;2015;503
08025 Bruc, El;Total;2022;2.218
08025 Bruc, El;Total;2021;2.177
08025 Bruc, El;Total;2020;2.110
08025 Bruc, El;Total;2019;2.050
08025 Bruc, El;Total;2018;2.027
08025 Bruc, El;Total;2017;1.988
08025 Bruc, El;Total;2016;2.014
08025 Bruc, El;Total;2015;2.032
08026 Brull, El;Total;2022;278
08026 Brull, El;Total;2021;275
08026 Brull, El;Total;2020;258
08026 Brull, El;Total;2019;263
08026 Brull, El;Total;2018;257
08026 Brull, El;Total;2017;258
08026 Brull, El;Total;2016;263
