Municipios;Sexo;Periodo;Total
17 Girona;Total;2022;793.478
17 Girona;Total;2021;786.596
17 Girona;Total;2020;781.788
17 Girona;Total;2019;771.044
17 Girona;Total;2018;761.947
17 Girona;Total;2017;755.716
17 Girona;Total;2016;753.576
17 Girona;Total;2015;753.054
17001 Agullana;Total;2022;903
17001 Agullana;Total;2021;885
17001 Agullana;Total;2020;863
17001 Agullana;Total;2019;831
17001 Agullana;Total;2018;841
17001 Agullana;Total;2017;831
17001 Agullana;Total;2016;841
17001 Agullana;Total;2015;828
17002 Aiguaviva;Total;2022;780
17002 Aiguaviva;Total;2021;789
17002 Aiguaviva;Total;2020;765
17002 Aiguaviva;Total;2019;756
17002 Aiguaviva;Total;2018;767
17002 Aiguaviva;Total;2017;779
17002 Aiguaviva;Total;2016;763
17002 Aiguaviva;Total;2015;775
17003 Albanyà;Total;2022;180
17003 Albanyà;Total;2021;178
17003 Albanyà;Total;2020;155
17003 Albanyà;Total;2019;157
17003 Albanyà;Total;2018;139
17003 Albanyà;Total;2017;141
17003 Albanyà;Total;2016;147
17003 Albanyà;Total;2015;149
17004 Albons;Total;2022;797
17004 Albons;Total;2021;798
17004 Albons;Total;2020;759
17004 Albons;Total;2019;776
17004 Albons;Total;2018;765
17004 Albons;Total;2017;769
17004 Albons;Total;2016;765
17004 Albons;Total;2015;745
17006 Alp;Total;2022;1.717
17006 Alp;Total;2021;1.645
17006 Alp;Total;2020;1.593
17006 Alp;Total;2019;1.580
17006 Alp;Total;2018;1.559
17006 Alp;Total;2017;1.499
17006 Alp;Total;2016;1.536
17006 Alp;Total;2015;1.595
17007 Amer;Total;2022;2.422
17007 Amer;Total;2021;2.383
17007 Amer;Total;2020;2.332
17007 Amer;Total;2019;2.298
17007 Amer;Total;2018;2.256
17007 Amer;Total;2017;2.242
17007 Amer;Total;2016;2.260
17007 Amer;Total;2015;2.250
17008 Anglès;Total;2022;5.682
17008 Anglès;Total;2021;5.709
17008 Anglès;Total;2020;5.654
17008 Anglès;Total;2019;5.599
17008 Anglès;Total;2018;5.519
17008 Anglès;Total;2017;5.479
17008 Anglès;Total;2016;5.473
17008 Anglès;Total;2015;5.540
17009 Arbúcies;Total;2022;6.474
17009 Arbúcies;Total;2021;6.507
17009 Arbúcies;Total;2020;6.608
17009 Arbúcies;Total;2019;6.556
17009 Arbúcies;Total;2018;6.515
17009 Arbúcies;Total;2017;6.427
