Municipios;Sexo;Periodo;Total
25 Lleida;Total;2022;441.443
25 Lleida;Total;2021;439.727
25 Lleida;Total;2020;438.517
25 Lleida;Total;2019;434.930
25 Lleida;Total;2018;432.866
25 Lleida;Total;2017;432.384
25 Lleida;Total;2016;434.041
25 Lleida;Total;2015;436.029
25001 Abella de la Conca;Total;2022;167
25001 Abella de la Conca;Total;2021;171
25001 Abella de la Conca;Total;2020;183
25001 Abella de la Conca;Total;2019;179
25001 Abella de la Conca;Total;2018;181
25001 Abella de la Conca;Total;2017;184
25001 Abella de la Conca;Total;2016;181
25001 Abella de la Conca;Total;2015;170
25002 Àger;Total;2022;580
25002 Àger;Total;2021;588
25002 Àger;Total;2020;580
25002 Àger;Total;2019;588
25002 Àger;Total;2018;611
25002 Àger;Total;2017;586
25002 Àger;Total;2016;602
25002 Àger;Total;2015;613
25003 Agramunt;Total;2022;5.479
25003 Agramunt;Total;2021;5.464
25003 Agramunt;Total;2020;5.411
25003 Agramunt;Total;2019;5.371
25003 Agramunt;Total;2018;5.393
25003 Agramunt;Total;2017;5.405
25003 Agramunt;Total;2016;5.390
25003 Agramunt;Total;2015;5.491
25038 Aitona;Total;2022;2.521
25038 Aitona;Total;2021;2.493
25038 Aitona;Total;2020;2.567
25038 Aitona;Total;2019;2.591
25038 Aitona;Total;2018;2.545
25038 Aitona;Total;2017;2.548
25038 Aitona;Total;2016;2.523
25038 Aitona;Total;2015;2.456
25004 Alamús, Els;Total;2022;781
25004 Alamús, Els;Total;2021;773
25004 Alamús, Els;Total;2020;811
25004 Alamús, Els;Total;2019;819
25004 Alamús, Els;Total;2018;796
25004 Alamús, Els;Total;2017;777
25004 Alamús, Els;Total;2016;799
25004 Alamús, Els;Total;2015;778
25005 Alàs i Cerc;Total;2022;329
25005 Alàs i Cerc;Total;2021;322
25005 Alàs i Cerc;Total;2020;320
25005 Alàs i Cerc;Total;2019;329
25005 Alàs i Cerc;Total;2018;342
25005 Alàs i Cerc;Total;2017;351
25005 Alàs i Cerc;Total;2016;350
25005 Alàs i Cerc;Total;2015;356
25006 Albagés, L';Total;2022;348
25006 Albagés, L';Total;2021;357
25006 Albagés, L';Total;2020;361
25006 Albagés, L';Total;2019;369
25006 Albagés, L';Total;2018;375
25006 Albagés, L';Total;2017;393
25006 Albagés, L';Total;2016;403
25006 Albagés, L';Total;2015;419
25007 Albatàrrec;Total;2022;2.217
25007 Albatàrrec;Total;2021;2.224
25007 Albatàrrec;Total;2020;2.236
25007 Albatàrrec;Total;2019;2.221
25007 Albatàrrec;Total;2018;2.335
25007 Albatàrrec;Total;2017;2.275
25007 Albatàrrec;Total;2016;2.291
25007 Albatàrrec;Total;2015;2.214
25008 Albesa;Total;2022;1.579
25008 Albesa;Total;2021;1.561
25008 Albesa;Total;2020;1.561
25008 Albesa;Total;2019;1.556
25008 Albesa;Total;2018;1.576
25008 Albesa;Total;2017;1.582
25008 Albesa;Total;2016;1.596
25008 Albesa;Total;2015;1.624
25009 Albi, L';Total;2022;755
25009 Albi, L';Total;2021;749
25009 Albi, L';Total;2020;744
25009 Albi, L';Total;2019;764
25009 Albi, L';Total;2018;762
25009 Albi, L';Total;2017;781
25009 Albi, L';Total;2016;803
25009 Albi, L';Total;2015;819
25010 Alcanó;Total;2022;240
25010 Alcanó;Total;2021;233
25010 Alcanó;Total;2020;238
25010 Alcanó;Total;2019;235
25010 Alcanó;Total;2018;232
25010 Alcanó;Total;2017;243
25010 Alcanó;Total;2016;249
25010 Alcanó;Total;2015;246
25011 Alcarràs;Total;2022;9.637
25011 Alcarràs;Total;2021;9.678
25011 Alcarràs;Total;2020;9.707
25011 Alcarràs;Total;2019;9.514
25011 Alcarràs;Total;2018;9.422
25011 Alcarràs;Total;2017;9.363
25011 Alcarràs;Total;2016;9.297
25011 Alcarràs;Total;2015;9.372
