Municipios;Sexo;Periodo;Total
43 Tarragona;Total;2022;830.075
43 Tarragona;Total;2021;822.309
43 Tarragona;Total;2020;816.772
43 Tarragona;Total;2019;804.664
43 Tarragona;Total;2018;795.902
43 Tarragona;Total;2017;791.693
43 Tarragona;Total;2016;792.299
43 Tarragona;Total;2015;795.101
43001 Aiguamúrcia;Total;2022;961
43001 Aiguamúrcia;Total;2021;960
43001 Aiguamúrcia;Total;2020;930
43001 Aiguamúrcia;Total;2019;901
43001 Aiguamúrcia;Total;2018;893
43001 Aiguamúrcia;Total;2017;893
43001 Aiguamúrcia;Total;2016;903
43001 Aiguamúrcia;Total;2015;912
43002 Albinyana;Total;2022;2.581
43002 Albinyana;Total;2021;2.504
43002 Albinyana;Total;2020;2.468
43002 Albinyana;Total;2019;2.438
43002 Albinyana;Total;2018;2.371
43002 Albinyana;Total;2017;2.340
43002 Albinyana;Total;2016;2.303
43002 Albinyana;Total;2015;2.320
43003 Albiol, L';Total;2022;528
43003 Albiol, L';Total;2021;515
43003 Albiol, L';Total;2020;500
43003 Albiol, L';Total;2019;485
43003 Albiol, L';Total;2018;464
43003 Albiol, L';Total;2017;479
43003 Albiol, L';Total;2016;459
43003 Albiol, L';Total;2015;448
43004 Alcanar;Total;2022;9.612
43004 Alcanar;Total;2021;9.579
43004 Alcanar;Total;2020;9.434
43004 Alcanar;Total;2019;9.418
43004 Alcanar;Total;2018;9.402
43004 Alcanar;Total;2017;9.393
43004 Alcanar;Total;2016;9.494
43004 Alcanar;Total;2015;9.603
43005 Alcover;Total;2022;5.290
43005 Alcover;Total;2021;5.185
43005 Alcover;Total;2020;5.144
43005 Alcover;Total;2019;5.064
43005 Alcover;Total;2018;5.108
43005 Alcover;Total;2017;5.163
43005 Alcover;Total;2016;5.095
43005 Alcover;Total;2015;5.073
43904 Aldea, L';Total;2022;4.332
43904 Aldea, L';Total;2021;4.160
43904 Aldea, L';Total;2020;4.147
43904 Aldea, L';Total;2019;4.160
43904 Aldea, L';Total;2018;4.137
43904 Aldea, L';Total;2017;4.211
43904 Aldea, L';Total;2016;4.250
43904 Aldea, L';Total;2015;4.245
43006 Aldover;Total;2022;862
43006 Aldover;Total;2021;911
43006 Aldover;Total;2020;905
43006 Aldover;Total;2019;882
43006 Aldover;Total;2018;838
43006 Aldover;Total;2017;842
43006 Aldover;Total;2016;863
43006 Aldover;Total;2015;918
43007 Aleixar, L';Total;2022;924
43007 Aleixar, L';Total;2021;912
43007 Aleixar, L';Total;2020;893
43007 Aleixar, L';Total;2019;873
43007 Aleixar, L';Total;2018;864
43007 Aleixar, L';Total;2017;866
43007 Aleixar, L';Total;2016;887
43007 Aleixar, L';Total;2015;885
43008 Alfara de Carles;Total;2022;359
43008 Alfara de Carles;Total;2021;376
43008 Alfara de Carles;Total;2020;376
43008 Alfara de Carles;Total;2019;377
43008 Alfara de Carles;Total;2018;368
43008 Alfara de Carles;Total;2017;369
43008 Alfara de Carles;Total;2016;371
43008 Alfara de Carles;Total;2015;378
43009 Alforja;Total;2022;1.928
43009 Alforja;Total;2021;1.843
43009 Alforja;Total;2020;1.783
43009 Alforja;Total;2019;1.801
43009 Alforja;Total;2018;1.788
43009 Alforja;Total;2017;1.799
43009 Alforja;Total;2016;1.844
43009 Alforja;Total;2015;1.883
43010 Alió;Total;2022;496
43010 Alió;Total;2021;478
43010 Alió;Total;2020;458
43010 Alió;Total;2019;439
43010 Alió;Total;2018;426
43010 Alió;Total;2017;408
43010 Alió;Total;2016;405
43010 Alió;Total;2015;419
43011 Almoster;Total;2022;1.334
43011 Almoster;Total;2021;1.322
43011 Almoster;Total;2020;1.341
43011 Almoster;Total;2019;1.351
43011 Almoster;Total;2018;1.342
43011 Almoster;Total;2017;1.361
43011 Almoster;Total;2016;1.401
43011 Almoster;Total;2015;1.410
43012 Altafulla;Total;2022;5.609
43012 Altafulla;Total;2021;5.512
43012 Altafulla;Total;2020;5.307
43012 Altafulla;Total;2019;5.243
43012 Altafulla;Total;2018;5.120
43012 Altafulla;Total;2017;5.089
43012 Altafulla;Total;2016;5.034
43012 Altafulla;Total;2015;5.052
43013 Ametlla de Mar, L';Total;2022;7.209
43013 Ametlla de Mar, L';Total;2021;7.131
43013 Ametlla de Mar, L';Total;2020;6.866
43013 Ametlla de Mar, L';Total;2019;6.787
43013 Ametlla de Mar, L';Total;2018;6.801
43013 Ametlla de Mar, L';Total;2017;6.887
43013 Ametlla de Mar, L';Total;2016;7.102
43013 Ametlla de Mar, L';Total;2015;7.183
43906 Ampolla, L';Total;2022;3.563
43906 Ampolla, L';Total;2021;3.444
43906 Ampolla, L';Total;2020;3.277
43906 Ampolla, L';Total;2019;3.205
43906 Ampolla, L';Total;2018;3.280
43906 Ampolla, L';Total;2017;3.334
43906 Ampolla, L';Total;2016;3.322
43906 Ampolla, L';Total;2015;3.473
43014 Amposta;Total;2022;21.807
43014 Amposta;Total;2021;21.317
43014 Amposta;Total;2020;21.115
43014 Amposta;Total;2019;20.738
43014 Amposta;Total;2018;20.606
43014 Amposta;Total;2017;20.572
43014 Amposta;Total;2016;20.654
43014 Amposta;Total;2015;20.952
43016 Arboç, L';Total;2022;5.604
43016 Arboç, L';Total;2021;5.625
43016 Arboç, L';Total;2020;5.609
43016 Arboç, L';Total;2019;5.517
43016 Arboç, L';Total;2018;5.505
