Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
17001 Agullana;;;Renta neta media por hogar;2020;34.421
17001 Agullana;;;Renta neta media por hogar;2019;36.909
17001 Agullana;;;Renta neta media por hogar;2018;35.371
17001 Agullana;;;Renta neta media por hogar;2017;33.400
17001 Agullana;;;Renta neta media por hogar;2016;32.493
17001 Agullana;;;Renta neta media por hogar;2015;32.034
17002 Aiguaviva;;;Renta neta media por hogar;2020;57.295
17002 Aiguaviva;;;Renta neta media por hogar;2019;56.407
17002 Aiguaviva;;;Renta neta media por hogar;2018;53.283
17002 Aiguaviva;;;Renta neta media por hogar;2017;52.459
17002 Aiguaviva;;;Renta neta media por hogar;2016;49.579
17002 Aiguaviva;;;Renta neta media por hogar;2015;49.025
17003 Albanyà;;;Renta neta media por hogar;2020;29.450
17003 Albanyà;;;Renta neta media por hogar;2019;26.718
17003 Albanyà;;;Renta neta media por hogar;2018;27.296
17003 Albanyà;;;Renta neta media por hogar;2017;24.630
17003 Albanyà;;;Renta neta media por hogar;2016;24.263
17003 Albanyà;;;Renta neta media por hogar;2015;23.906
17004 Albons;;;Renta neta media por hogar;2020;35.622
17004 Albons;;;Renta neta media por hogar;2019;35.428
17004 Albons;;;Renta neta media por hogar;2018;34.827
17004 Albons;;;Renta neta media por hogar;2017;33.445
17004 Albons;;;Renta neta media por hogar;2016;32.528
17004 Albons;;;Renta neta media por hogar;2015;31.110
17005 Far d'Empordà, El;;;Renta neta media por hogar;2020;40.496
17005 Far d'Empordà, El;;;Renta neta media por hogar;2019;40.356
17005 Far d'Empordà, El;;;Renta neta media por hogar;2018;37.676
17005 Far d'Empordà, El;;;Renta neta media por hogar;2017;34.298
17005 Far d'Empordà, El;;;Renta neta media por hogar;2016;34.212
17005 Far d'Empordà, El;;;Renta neta media por hogar;2015;33.452
17006 Alp;;;Renta neta media por hogar;2020;37.440
17006 Alp;;;Renta neta media por hogar;2019;36.143
17006 Alp;;;Renta neta media por hogar;2018;35.632
17006 Alp;;;Renta neta media por hogar;2017;33.814
17006 Alp;;;Renta neta media por hogar;2016;33.873
17006 Alp;;;Renta neta media por hogar;2015;32.387
17007 Amer;;;Renta neta media por hogar;2020;37.538
17007 Amer;;;Renta neta media por hogar;2019;36.693
17007 Amer;;;Renta neta media por hogar;2018;36.490
17007 Amer;;;Renta neta media por hogar;2017;35.024
17007 Amer;;;Renta neta media por hogar;2016;34.139
17007 Amer;;;Renta neta media por hogar;2015;33.243
17008 Anglès;;;Renta neta media por hogar;2020;33.747
17008 Anglès;;;Renta neta media por hogar;2019;33.202
17008 Anglès;;;Renta neta media por hogar;2018;31.537
17008 Anglès;;;Renta neta media por hogar;2017;30.809
17008 Anglès;;;Renta neta media por hogar;2016;30.032
17008 Anglès;;;Renta neta media por hogar;2015;29.466
17009 Arbúcies;;;Renta neta media por hogar;2020;32.458
17009 Arbúcies;;;Renta neta media por hogar;2019;32.618
17009 Arbúcies;;;Renta neta media por hogar;2018;31.579
17009 Arbúcies;;;Renta neta media por hogar;2017;30.235
17009 Arbúcies;;;Renta neta media por hogar;2016;29.251
17009 Arbúcies;;;Renta neta media por hogar;2015;28.236
17010 Argelaguer;;;Renta neta media por hogar;2020;33.063
17010 Argelaguer;;;Renta neta media por hogar;2019;32.755
17010 Argelaguer;;;Renta neta media por hogar;2018;30.550
17010 Argelaguer;;;Renta neta media por hogar;2017;29.825
17010 Argelaguer;;;Renta neta media por hogar;2016;30.234
17010 Argelaguer;;;Renta neta media por hogar;2015;28.854
17011 Armentera, L';;;Renta neta media por hogar;2020;36.716
17011 Armentera, L';;;Renta neta media por hogar;2019;35.382
17011 Armentera, L';;;Renta neta media por hogar;2018;35.372
17011 Armentera, L';;;Renta neta media por hogar;2017;33.080
17011 Armentera, L';;;Renta neta media por hogar;2016;32.379
17011 Armentera, L';;;Renta neta media por hogar;2015;30.933
17012 Avinyonet de Puigventós;;;Renta neta media por hogar;2020;42.755
17012 Avinyonet de Puigventós;;;Renta neta media por hogar;2019;42.921
17012 Avinyonet de Puigventós;;;Renta neta media por hogar;2018;41.288
17012 Avinyonet de Puigventós;;;Renta neta media por hogar;2017;39.588
17012 Avinyonet de Puigventós;;;Renta neta media por hogar;2016;38.068
17012 Avinyonet de Puigventós;;;Renta neta media por hogar;2015;36.978
17013 Begur;;;Renta neta media por hogar;2020;36.736
17013 Begur;;;Renta neta media por hogar;2019;34.885
17013 Begur;;;Renta neta media por hogar;2018;33.776
17013 Begur;;;Renta neta media por hogar;2017;31.590
17013 Begur;;;Renta neta media por hogar;2016;30.438
17013 Begur;;;Renta neta media por hogar;2015;29.825
17014 Vajol, La;;;Renta neta media por hogar;2020;35.624
17014 Vajol, La;;;Renta neta media por hogar;2019;.
17014 Vajol, La;;;Renta neta media por hogar;2018;.
17014 Vajol, La;;;Renta neta media por hogar;2017;.
17014 Vajol, La;;;Renta neta media por hogar;2016;.
17014 Vajol, La;;;Renta neta media por hogar;2015;.
17015 Banyoles;;;Renta neta media por hogar;2020;37.832
17015 Banyoles;;;Renta neta media por hogar;2019;37.244
17015 Banyoles;;;Renta neta media por hogar;2018;35.834
17015 Banyoles;;;Renta neta media por hogar;2017;34.143
17015 Banyoles;;;Renta neta media por hogar;2016;33.081
17015 Banyoles;;;Renta neta media por hogar;2015;32.029
17016 Bàscara;;;Renta neta media por hogar;2020;33.123
17016 Bàscara;;;Renta neta media por hogar;2019;34.272
17016 Bàscara;;;Renta neta media por hogar;2018;32.602
17016 Bàscara;;;Renta neta media por hogar;2017;31.016
17016 Bàscara;;;Renta neta media por hogar;2016;31.063
17016 Bàscara;;;Renta neta media por hogar;2015;29.000
17018 Bellcaire d'Empordà;;;Renta neta media por hogar;2020;32.964
17018 Bellcaire d'Empordà;;;Renta neta media por hogar;2019;32.722
17018 Bellcaire d'Empordà;;;Renta neta media por hogar;2018;31.561
17018 Bellcaire d'Empordà;;;Renta neta media por hogar;2017;30.215
17018 Bellcaire d'Empordà;;;Renta neta media por hogar;2016;29.370
17018 Bellcaire d'Empordà;;;Renta neta media por hogar;2015;29.610
17019 Besalú;;;Renta neta media por hogar;2020;34.745
17019 Besalú;;;Renta neta media por hogar;2019;35.792
17019 Besalú;;;Renta neta media por hogar;2018;34.339
17019 Besalú;;;Renta neta media por hogar;2017;33.498
17019 Besalú;;;Renta neta media por hogar;2016;31.807
17019 Besalú;;;Renta neta media por hogar;2015;31.516
17020 Bescanó;;;Renta neta media por hogar;2020;42.136
17020 Bescanó;;;Renta neta media por hogar;2019;41.042
17020 Bescanó;;;Renta neta media por hogar;2018;40.132
17020 Bescanó;;;Renta neta media por hogar;2017;38.214
17020 Bescanó;;;Renta neta media por hogar;2016;37.470
17020 Bescanó;;;Renta neta media por hogar;2015;36.327
17021 Beuda;;;Renta neta media por hogar;2020;36.949
17021 Beuda;;;Renta neta media por hogar;2019;40.056
17021 Beuda;;;Renta neta media por hogar;2018;37.237
17021 Beuda;;;Renta neta media por hogar;2017;33.041
17021 Beuda;;;Renta neta media por hogar;2016;30.532
17021 Beuda;;;Renta neta media por hogar;2015;31.277
17022 Bisbal d'Empordà, La;;;Renta neta media por hogar;2020;30.355
17022 Bisbal d'Empordà, La;;;Renta neta media por hogar;2019;31.317
17022 Bisbal d'Empordà, La;;;Renta neta media por hogar;2018;29.774
17022 Bisbal d'Empordà, La;;;Renta neta media por hogar;2017;27.900
17022 Bisbal d'Empordà, La;;;Renta neta media por hogar;2016;26.782
17022 Bisbal d'Empordà, La;;;Renta neta media por hogar;2015;26.353
17023 Blanes;;;Renta neta media por hogar;2020;29.329
17023 Blanes;;;Renta neta media por hogar;2019;30.128
17023 Blanes;;;Renta neta media por hogar;2018;28.875
17023 Blanes;;;Renta neta media por hogar;2017;27.668
17023 Blanes;;;Renta neta media por hogar;2016;26.823
17023 Blanes;;;Renta neta media por hogar;2015;26.015
17024 Bolvir;;;Renta neta media por hogar;2020;35.110
17024 Bolvir;;;Renta neta media por hogar;2019;37.784
17024 Bolvir;;;Renta neta media por hogar;2018;36.053
17024 Bolvir;;;Renta neta media por hogar;2017;35.379
17024 Bolvir;;;Renta neta media por hogar;2016;34.723
