Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
25001 Abella de la Conca;;;Renta neta media por hogar;2020;29.570
25001 Abella de la Conca;;;Renta neta media por hogar;2019;30.502
25001 Abella de la Conca;;;Renta neta media por hogar;2018;29.407
25001 Abella de la Conca;;;Renta neta media por hogar;2017;22.747
25001 Abella de la Conca;;;Renta neta media por hogar;2016;22.475
25001 Abella de la Conca;;;Renta neta media por hogar;2015;21.374
25002 Àger;;;Renta neta media por hogar;2020;32.540
25002 Àger;;;Renta neta media por hogar;2019;29.910
25002 Àger;;;Renta neta media por hogar;2018;29.950
25002 Àger;;;Renta neta media por hogar;2017;26.226
25002 Àger;;;Renta neta media por hogar;2016;28.032
25002 Àger;;;Renta neta media por hogar;2015;26.304
25003 Agramunt;;;Renta neta media por hogar;2020;34.420
25003 Agramunt;;;Renta neta media por hogar;2019;33.361
25003 Agramunt;;;Renta neta media por hogar;2018;31.748
25003 Agramunt;;;Renta neta media por hogar;2017;29.859
25003 Agramunt;;;Renta neta media por hogar;2016;28.847
25003 Agramunt;;;Renta neta media por hogar;2015;27.895
25004 Alamús, Els;;;Renta neta media por hogar;2020;35.606
25004 Alamús, Els;;;Renta neta media por hogar;2019;34.635
25004 Alamús, Els;;;Renta neta media por hogar;2018;34.762
25004 Alamús, Els;;;Renta neta media por hogar;2017;28.922
25004 Alamús, Els;;;Renta neta media por hogar;2016;28.005
25004 Alamús, Els;;;Renta neta media por hogar;2015;28.329
25005 Alàs i Cerc;;;Renta neta media por hogar;2020;28.657
25005 Alàs i Cerc;;;Renta neta media por hogar;2019;29.185
25005 Alàs i Cerc;;;Renta neta media por hogar;2018;21.473
25005 Alàs i Cerc;;;Renta neta media por hogar;2017;18.334
25005 Alàs i Cerc;;;Renta neta media por hogar;2016;16.243
25005 Alàs i Cerc;;;Renta neta media por hogar;2015;16.616
25006 Albagés, L';;;Renta neta media por hogar;2020;27.941
25006 Albagés, L';;;Renta neta media por hogar;2019;26.643
25006 Albagés, L';;;Renta neta media por hogar;2018;25.848
25006 Albagés, L';;;Renta neta media por hogar;2017;24.089
25006 Albagés, L';;;Renta neta media por hogar;2016;23.172
25006 Albagés, L';;;Renta neta media por hogar;2015;24.125
25007 Albatàrrec;;;Renta neta media por hogar;2020;35.272
25007 Albatàrrec;;;Renta neta media por hogar;2019;34.987
25007 Albatàrrec;;;Renta neta media por hogar;2018;32.626
25007 Albatàrrec;;;Renta neta media por hogar;2017;31.333
25007 Albatàrrec;;;Renta neta media por hogar;2016;30.849
25007 Albatàrrec;;;Renta neta media por hogar;2015;29.778
25008 Albesa;;;Renta neta media por hogar;2020;33.339
25008 Albesa;;;Renta neta media por hogar;2019;32.785
25008 Albesa;;;Renta neta media por hogar;2018;31.245
25008 Albesa;;;Renta neta media por hogar;2017;30.451
25008 Albesa;;;Renta neta media por hogar;2016;29.682
25008 Albesa;;;Renta neta media por hogar;2015;28.483
