Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28001 Acebeda, La;;;Renta neta media por hogar;2020;27.408
28001 Acebeda, La;;;Renta neta media por hogar;2019;.
28001 Acebeda, La;;;Renta neta media por hogar;2018;.
28001 Acebeda, La;;;Renta neta media por hogar;2017;.
28001 Acebeda, La;;;Renta neta media por hogar;2016;.
28001 Acebeda, La;;;Renta neta media por hogar;2015;.
28002 Ajalvir;;;Renta neta media por hogar;2020;39.782
28002 Ajalvir;;;Renta neta media por hogar;2019;40.643
28002 Ajalvir;;;Renta neta media por hogar;2018;38.128
28002 Ajalvir;;;Renta neta media por hogar;2017;36.433
28002 Ajalvir;;;Renta neta media por hogar;2016;35.093
28002 Ajalvir;;;Renta neta media por hogar;2015;34.881
28003 Alameda del Valle;;;Renta neta media por hogar;2020;30.463
28003 Alameda del Valle;;;Renta neta media por hogar;2019;30.053
28003 Alameda del Valle;;;Renta neta media por hogar;2018;28.304
28003 Alameda del Valle;;;Renta neta media por hogar;2017;28.783
28003 Alameda del Valle;;;Renta neta media por hogar;2016;28.416
28003 Alameda del Valle;;;Renta neta media por hogar;2015;27.355
28004 Álamo, El;;;Renta neta media por hogar;2020;30.898
28004 Álamo, El;;;Renta neta media por hogar;2019;30.454
28004 Álamo, El;;;Renta neta media por hogar;2018;29.001
28004 Álamo, El;;;Renta neta media por hogar;2017;28.031
28004 Álamo, El;;;Renta neta media por hogar;2016;27.291
28004 Álamo, El;;;Renta neta media por hogar;2015;26.550
28005 Alcalá de Henares;;;Renta neta media por hogar;2020;36.247
28005 Alcalá de Henares;;;Renta neta media por hogar;2019;36.320
28005 Alcalá de Henares;;;Renta neta media por hogar;2018;34.947
28005 Alcalá de Henares;;;Renta neta media por hogar;2017;33.655
28005 Alcalá de Henares;;;Renta neta media por hogar;2016;32.751
28005 Alcalá de Henares;;;Renta neta media por hogar;2015;32.136
28006 Alcobendas;;;Renta neta media por hogar;2020;56.448
28006 Alcobendas;;;Renta neta media por hogar;2019;56.931
28006 Alcobendas;;;Renta neta media por hogar;2018;61.540
28006 Alcobendas;;;Renta neta media por hogar;2017;57.678
28006 Alcobendas;;;Renta neta media por hogar;2016;55.269
28006 Alcobendas;;;Renta neta media por hogar;2015;52.826
28007 Alcorcón;;;Renta neta media por hogar;2020;35.844
28007 Alcorcón;;;Renta neta media por hogar;2019;35.675
28007 Alcorcón;;;Renta neta media por hogar;2018;34.427
28007 Alcorcón;;;Renta neta media por hogar;2017;33.100
28007 Alcorcón;;;Renta neta media por hogar;2016;32.499
28007 Alcorcón;;;Renta neta media por hogar;2015;31.794
28008 Aldea del Fresno;;;Renta neta media por hogar;2020;26.820
28008 Aldea del Fresno;;;Renta neta media por hogar;2019;26.600
28008 Aldea del Fresno;;;Renta neta media por hogar;2018;25.249
28008 Aldea del Fresno;;;Renta neta media por hogar;2017;24.311
28008 Aldea del Fresno;;;Renta neta media por hogar;2016;23.453
28008 Aldea del Fresno;;;Renta neta media por hogar;2015;22.822
28009 Algete;;;Renta neta media por hogar;2020;50.456
28009 Algete;;;Renta neta media por hogar;2019;50.233
28009 Algete;;;Renta neta media por hogar;2018;48.438
28009 Algete;;;Renta neta media por hogar;2017;45.898
28009 Algete;;;Renta neta media por hogar;2016;45.155
28009 Algete;;;Renta neta media por hogar;2015;43.242
28010 Alpedrete;;;Renta neta media por hogar;2020;42.819
28010 Alpedrete;;;Renta neta media por hogar;2019;42.932
28010 Alpedrete;;;Renta neta media por hogar;2018;41.614
28010 Alpedrete;;;Renta neta media por hogar;2017;39.611
28010 Alpedrete;;;Renta neta media por hogar;2016;39.221
28010 Alpedrete;;;Renta neta media por hogar;2015;38.469
28011 Ambite;;;Renta neta media por hogar;2020;24.048
28011 Ambite;;;Renta neta media por hogar;2019;24.090
28011 Ambite;;;Renta neta media por hogar;2018;23.385
28011 Ambite;;;Renta neta media por hogar;2017;21.791
28011 Ambite;;;Renta neta media por hogar;2016;21.722
28011 Ambite;;;Renta neta media por hogar;2015;21.706
28012 Anchuelo;;;Renta neta media por hogar;2020;30.691
28012 Anchuelo;;;Renta neta media por hogar;2019;30.278
28012 Anchuelo;;;Renta neta media por hogar;2018;28.756
28012 Anchuelo;;;Renta neta media por hogar;2017;27.133
28012 Anchuelo;;;Renta neta media por hogar;2016;26.905
28012 Anchuelo;;;Renta neta media por hogar;2015;26.047
28013 Aranjuez;;;Renta neta media por hogar;2020;34.544
28013 Aranjuez;;;Renta neta media por hogar;2019;34.299
28013 Aranjuez;;;Renta neta media por hogar;2018;32.913
28013 Aranjuez;;;Renta neta media por hogar;2017;31.497
28013 Aranjuez;;;Renta neta media por hogar;2016;30.880
28013 Aranjuez;;;Renta neta media por hogar;2015;30.499
28014 Arganda del Rey;;;Renta neta media por hogar;2020;33.726
28014 Arganda del Rey;;;Renta neta media por hogar;2019;33.957
