Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
0803001003 Cabrils sección 01003;;;Renta neta media por hogar;2020;57.777
0803001003 Cabrils sección 01003;;;Renta neta media por hogar;2019;60.585
0803001003 Cabrils sección 01003;;;Renta neta media por hogar;2018;""
0803001003 Cabrils sección 01003;;;Renta neta media por hogar;2017;""
0803001003 Cabrils sección 01003;;;Renta neta media por hogar;2016;""
0803001003 Cabrils sección 01003;;;Renta neta media por hogar;2015;""
43001 Aiguamúrcia;;;Renta neta media por hogar;2020;27.926
43001 Aiguamúrcia;;;Renta neta media por hogar;2019;27.724
43001 Aiguamúrcia;;;Renta neta media por hogar;2018;28.256
43001 Aiguamúrcia;;;Renta neta media por hogar;2017;26.063
43001 Aiguamúrcia;;;Renta neta media por hogar;2016;25.557
43001 Aiguamúrcia;;;Renta neta media por hogar;2015;26.123
43002 Albinyana;;;Renta neta media por hogar;2020;30.481
43002 Albinyana;;;Renta neta media por hogar;2019;30.008
43002 Albinyana;;;Renta neta media por hogar;2018;29.466
43002 Albinyana;;;Renta neta media por hogar;2017;27.778
43002 Albinyana;;;Renta neta media por hogar;2016;26.785
43002 Albinyana;;;Renta neta media por hogar;2015;26.371
43003 Albiol, L';;;Renta neta media por hogar;2020;40.372
43003 Albiol, L';;;Renta neta media por hogar;2019;38.571
43003 Albiol, L';;;Renta neta media por hogar;2018;40.524
43003 Albiol, L';;;Renta neta media por hogar;2017;38.009
43003 Albiol, L';;;Renta neta media por hogar;2016;38.015
43003 Albiol, L';;;Renta neta media por hogar;2015;35.681
43004 Alcanar;;;Renta neta media por hogar;2020;27.030
43004 Alcanar;;;Renta neta media por hogar;2019;25.905
43004 Alcanar;;;Renta neta media por hogar;2018;25.039
43004 Alcanar;;;Renta neta media por hogar;2017;24.074
43004 Alcanar;;;Renta neta media por hogar;2016;23.258
43004 Alcanar;;;Renta neta media por hogar;2015;22.457
43005 Alcover;;;Renta neta media por hogar;2020;33.910
43005 Alcover;;;Renta neta media por hogar;2019;33.731
43005 Alcover;;;Renta neta media por hogar;2018;32.727
43005 Alcover;;;Renta neta media por hogar;2017;30.996
43005 Alcover;;;Renta neta media por hogar;2016;31.482
43005 Alcover;;;Renta neta media por hogar;2015;30.256
43006 Aldover;;;Renta neta media por hogar;2020;30.136
43006 Aldover;;;Renta neta media por hogar;2019;29.058
43006 Aldover;;;Renta neta media por hogar;2018;28.866
43006 Aldover;;;Renta neta media por hogar;2017;27.745
43006 Aldover;;;Renta neta media por hogar;2016;27.249
43006 Aldover;;;Renta neta media por hogar;2015;25.979
43007 Aleixar, L';;;Renta neta media por hogar;2020;33.367
43007 Aleixar, L';;;Renta neta media por hogar;2019;32.186
43007 Aleixar, L';;;Renta neta media por hogar;2018;31.692
43007 Aleixar, L';;;Renta neta media por hogar;2017;29.967
43007 Aleixar, L';;;Renta neta media por hogar;2016;28.421
43007 Aleixar, L';;;Renta neta media por hogar;2015;27.117
43008 Alfara de Carles;;;Renta neta media por hogar;2020;26.339
43008 Alfara de Carles;;;Renta neta media por hogar;2019;25.477
43008 Alfara de Carles;;;Renta neta media por hogar;2018;25.311
43008 Alfara de Carles;;;Renta neta media por hogar;2017;23.673
43008 Alfara de Carles;;;Renta neta media por hogar;2016;22.392
43008 Alfara de Carles;;;Renta neta media por hogar;2015;23.227
43009 Alforja;;;Renta neta media por hogar;2020;30.620
43009 Alforja;;;Renta neta media por hogar;2019;30.620
43009 Alforja;;;Renta neta media por hogar;2018;29.318
43009 Alforja;;;Renta neta media por hogar;2017;25.579
43009 Alforja;;;Renta neta media por hogar;2016;27.532
43009 Alforja;;;Renta neta media por hogar;2015;27.497
43010 Alió;;;Renta neta media por hogar;2020;32.793
43010 Alió;;;Renta neta media por hogar;2019;31.860
43010 Alió;;;Renta neta media por hogar;2018;31.711
43010 Alió;;;Renta neta media por hogar;2017;30.102
43010 Alió;;;Renta neta media por hogar;2016;27.588
43010 Alió;;;Renta neta media por hogar;2015;28.221
43011 Almoster;;;Renta neta media por hogar;2020;52.507
43011 Almoster;;;Renta neta media por hogar;2019;51.512
43011 Almoster;;;Renta neta media por hogar;2018;46.694
43011 Almoster;;;Renta neta media por hogar;2017;45.599
43011 Almoster;;;Renta neta media por hogar;2016;44.760
